city_id,city_name,latitude,longitude,date,temp,humidity,cloudiness,wind
2729907,Longyearbyen,78.22,15.64,08/11/20,48.2,76.0,75.0,3.36
5983720,Iqaluit,63.75,-68.51,08/11/20,59.0,38.0,40.0,16.11
1303406,Nyaunglebin,17.95,96.73,08/11/20,76.89,93.0,100.0,4.74
3464255,Encruzilhada do Sul,-30.54,-52.52,08/11/20,44.82,86.0,100.0,1.36
1214882,Kisaran,2.98,99.62,08/11/20,76.48,96.0,100.0,3.09
1293960,Taunggyi,20.78,97.03,08/11/20,63.81,100.0,88.0,4.97
103630,Najrān,17.49,44.13,08/11/20,93.2,15.0,40.0,6.93
5866583,Saint Paul Harbor,57.79,-152.41,08/11/20,53.6,76.0,1.0,4.09
4034496,Fare,-16.7,-151.02,08/11/20,77.52,82.0,16.0,21.52
2395170,Benin,9.5,2.25,08/11/20,76.42,87.0,95.0,5.46
2108857,Gizo Government Station,-8.1,156.84,08/11/20,79.43,77.0,96.0,5.73
57000,Hobyo,5.35,48.53,08/11/20,76.06,80.0,58.0,26.17
6185377,Yellowknife,62.46,-114.35,08/11/20,63.01,72.0,75.0,11.41
6078372,Moose Factory,51.26,-80.61,08/11/20,75.2,60.0,1.0,11.41
3465487,Coromandel,-18.47,-47.2,08/11/20,84.85,29.0,10.0,1.63
2022773,Khandyga,62.67,135.6,08/11/20,48.22,66.0,2.0,1.05
365742,Torit,4.41,32.57,08/11/20,74.66,78.0,10.0,2.1
1082243,Ambilobe,-13.2,49.05,08/11/20,70.41,76.0,65.0,3.69
3380290,Sinnamary,5.38,-52.95,08/11/20,85.59,67.0,5.0,12.84
3671519,Puerto Carreño,6.19,-67.49,08/11/20,87.8,58.0,40.0,6.93
515805,Oktyabr'skoye,43.06,44.74,08/11/20,66.2,93.0,40.0,4.47
1633070,Palembang,-2.92,104.75,08/11/20,76.86,90.0,64.0,5.7
4021858,Guerrero Negro,27.98,-114.06,08/11/20,81.88,42.0,0.0,6.49
2264557,Ponta do Sol,32.67,-17.1,08/11/20,71.01,68.0,57.0,1.97
1162316,Yazman,29.12,71.74,08/11/20,99.88,36.0,67.0,17.92
3393922,Nísia Floresta,-6.09,-35.21,08/11/20,83.3,62.0,40.0,17.22
2125693,Evensk,61.95,159.23,08/11/20,51.46,91.0,100.0,5.14
2548885,Fes,34.04,-5.0,08/11/20,86.0,51.0,75.0,10.29
86049,Jalu,29.03,21.55,08/11/20,95.58,18.0,0.0,9.55
463355,Zheleznodorozhnyy,55.75,38.0,08/11/20,60.82,59.0,35.0,11.18
921786,Mitsamiouli,-11.38,43.28,08/11/20,77.0,73.0,20.0,5.82
2426370,Umm Hājar,13.3,19.7,08/11/20,86.27,62.0,71.0,2.46
3175096,Laas,46.62,10.7,08/11/20,80.55,42.0,40.0,8.05
3450909,Rondonópolis,-16.47,-54.64,08/11/20,101.7,15.0,0.0,2.64
1073482,Anjozorobe,-18.4,47.87,08/11/20,55.4,66.0,20.0,8.05
290030,Doha,25.29,51.53,08/11/20,95.97,41.0,9.0,12.75
1640902,Kawalu,-7.38,108.21,08/11/20,72.25,91.0,98.0,2.21
7117228,Caesarea,32.52,34.9,08/11/20,81.7,69.0,40.0,6.93
3882582,Loncoche,-39.37,-72.63,08/11/20,44.33,100.0,90.0,2.24
473263,Vizinga,61.07,50.1,08/11/20,51.75,78.0,53.0,3.58
2128072,Shiraoi,42.55,141.35,08/11/20,72.55,100.0,75.0,1.12
3577430,Road Town,18.42,-64.62,08/11/20,87.94,62.0,40.0,11.41
3137469,Sørland,67.67,12.69,08/11/20,57.2,87.0,75.0,8.05
7671223,Kloulklubed,7.04,134.26,08/11/20,78.8,88.0,75.0,4.7
4080555,Northport,33.23,-87.58,08/11/20,92.32,59.0,1.0,3.94
1266540,Kilvelur,10.77,79.74,08/11/20,83.52,70.0,20.0,9.44
2028164,Deputatsky,69.3,139.9,08/11/20,29.73,98.0,70.0,1.97
2953458,Bad Freienwalde,52.79,14.03,08/11/20,85.01,42.0,0.0,3.0
145724,Lucapa,-8.42,20.74,08/11/20,79.54,18.0,0.0,3.18
2093967,Kimbe,-5.55,150.14,08/11/20,75.15,88.0,82.0,3.8
2123814,Leningradskiy,69.38,178.42,08/11/20,37.78,86.0,97.0,1.99
3460107,Jaraguá,-15.76,-49.33,08/11/20,91.06,20.0,0.0,5.17
1801792,Luoyang,34.68,112.45,08/11/20,82.99,99.0,88.0,3.96
